Date,ST,ET,Television,Laptop,Washing Machine,Fan,Refrigerator,Air Conditioner,Tred Mill,Microwave,Hair Dryer,Chimney,Heater,Home Theater,Dish Washer,Kettle,Iron Box
10-03-2019,06:00,07:00,0,0,0,0,4.5623,3.2564,0,0,0,0,0,0,0,3.1235,0
10-03-2019,07:00,08:00,2.3654,0,0,1.2365,3.2145,0,0,0,0,0,1.2365,0,0,3.2145,0
10-03-2019,08:00,09:00,2.6548,0,0,2.3654,3.2456,0,0,0,0.8564,0,2.3658,0,0,1.2565,0
10-03-2019,09:00,10:00,1.2356,0,0,3.2145,4.5623,0,0,0,0.2564,0,0,0,0,0.4568,0
10-03-2019,10:00,11:00,1.5634,0,5.4589,3.4568,4.5623,0,0,0,0,0,0,1.2365,3.2654,0,0
10-03-2019,11:00,12:00,4.2152,0,5.3214,5.3254,4.5623,0,0,0,0,0,0,2.1145,2.3546,0,0
10-03-2019,12:00,13:00,4.2564,0,0,4.0123,4.2365,0,0,0,0,0,0,1.3256,0,0,0
10-03-2019,13:00,14:00,0,0,0,3.2564,3.2455,0,0,3.2456,0,1.2365,0,0,0,0,0
10-03-2019,14:00,15:00,0,4.1236,0,0,2.3365,0,0,0,0,0,0,0,0,0,0
10-03-2019,15:00,16:00,0,2.3654,0,0,0,3.2145,0,0,0,0,0,0,0,0,0
10-03-2019,16:00,17:00,4.2136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-03-2019,17:00,18:00,3.2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-03-2019,18:00,19:00,2.3654,0,0,2.3654,0,2.2145,0,0,0,0,0,0,0,2.3654,0
10-03-2019,19:00,20:00,3.2155,0,0,1.3256,4.2114,0,0,3.2145,0,0,0,0,0,1.2365,0
10-03-2019,20:00,21:00,2.3245,0,0,2.0147,4.2114,0,0,2.3654,0,2.3655,0,2.3654,0,1.2561,0
10-03-2019,21:00,22:00,4.3256,2.3021,0,1.2365,4.2365,2.3654,0,2.3654,0,1.2365,2.3654,2.3654,0,0,0
10-03-2019,22:00,23:00,1.1265,3.4562,0,0,4.2114,3.2254,0,0,0,0,0,1.2546,2.3658,0,0
10-03-2019,23:00,00:00,0,0,0,0,4.2114,3.5621,0,0,0,0,0,0,0,0,0
11-03-2019,00:00,01:00,0,0,0,0,4.5623,3.1145,0,0,0,0,0,0,0,0,0
11-03-2019,01:00,02:00,0,0,0,0,4.5623,3.1145,0,0,0,0,0,0,0,0,0
11-03-2019,02:00,03:00,0,0,0,0,4.2365,3.2254,0,0,0,0,0,0,0,0,0
11-03-2019,03:00,04:00,0,0,0,0,3.2456,3.5698,0,0,0,0,0,0,0,0,0
